Артикул;"Цена (Розница)";"Цена (Опт)";"Можно купить";"На складе";"Время отгрузки";Размер/Цвет;Валюта(Розница);Валюта(Опт)
60378;1050.00;525.00;0;0;3;;RUB;RUB
60678;3814.00;2100.00;0;0;3;;RUB;RUB
61302;2259.00;1188.60;1;1;1;телесный;RUB;RUB
61304;2259.00;1188.60;0;0;3;;RUB;RUB
61744;3296.00;1734.60;0;0;3;;RUB;RUB
61745;2927.00;1539.30;0;0;3;;RUB;RUB
61750;2058.00;1081.50;0;0;3;;RUB;RUB
61910;5657.00;3129.00;0;0;3;;RUB;RUB
61917;6113.00;3381.00;0;0;3;;RUB;RUB
62010;1488.00;743.40;0;0;3;;RUB;RUB
62035;4904.00;2709.00;0;0;3;;RUB;RUB
62069;510.00;279.30;0;0;3;;RUB;RUB
62747;1628.00;812.70;0;0;3;;RUB;RUB
62782;1334.00;665.70;0;0;3;;RUB;RUB
62784;654.00;241.50;0;0;3;;RUB;RUB
62958;2176.00;1144.50;0;0;3;;RUB;RUB
62962;2065.00;1085.70;0;0;3;;RUB;RUB
62964;2065.00;1085.70;1;2;1;телесный;RUB;RUB
62965;2065.00;1085.70;0;0;3;;RUB;RUB
63019;9346.00;5334.00;0;0;3;;RUB;RUB
63068;819.00;504.00;0;0;3;;RUB;RUB
63101;739.00;273.00;0;0;3;;RUB;RUB
63104;1101.00;487.20;0;0;3;;RUB;RUB
63105;576.00;191.73;0;0;3;;RUB;RUB
63251;6395.00;3549.00;0;0;3;;RUB;RUB
63253;10823.00;6174.00;0;0;3;;RUB;RUB
63490;1070.00;533.40;0;0;3;;RUB;RUB
63496;1070.00;533.40;0;0;3;;RUB;RUB
63502;1024.00;453.60;0;0;3;;RUB;RUB
63586;794.00;294.00;0;0;3;;RUB;RUB
63644;1470.00;814.80;0;0;3;;RUB;RUB
63722;1008.00;504.00;0;0;3;;RUB;RUB
63770;1013.00;506.10;0;0;3;;RUB;RUB
63788;559.00;186.06;0;0;3;;RUB;RUB
63791;250.00;71.40;0;0;3;;RUB;RUB
63792;625.00;382.20;0;0;3;;RUB;RUB
64339;4219.00;2331.00;0;0;3;;RUB;RUB
64359;1060.00;470.40;0;0;3;;RUB;RUB
64364;988.00;438.90;0;0;3;;RUB;RUB
64365;803.00;354.90;0;0;3;;RUB;RUB
64366;829.00;367.50;0;0;3;;RUB;RUB
64370;766.00;340.20;0;0;3;;RUB;RUB
64373;1346.00;672.00;0;0;3;;RUB;RUB
64378;2121.00;1115.10;0;0;3;;RUB;RUB
64380;1006.00;445.20;0;0;3;;RUB;RUB
64597;360.00;212.10;0;0;3;;RUB;RUB
64598;360.00;212.10;0;0;3;;RUB;RUB
64795;1711.00;854.70;1;1;1;серебристый;RUB;RUB
65081;3004.00;1579.20;0;0;3;;RUB;RUB
65105;1060.00;470.40;1;2;1;прозрачный;RUB;RUB
65134;1123.00;497.70;0;0;3;;RUB;RUB
65177;4843.00;2688.00;1;1;1;"телесный с черным";RUB;RUB
65214;3497.00;1839.60;0;0;3;;RUB;RUB
65238;2334.00;1228.50;1;1;1;телесный;RUB;RUB
65265;793.00;350.70;0;0;3;;RUB;RUB
65346;1343.00;669.90;0;0;3;;RUB;RUB
65398;920.00;510.30;0;0;3;;RUB;RUB
65406;2165.00;1138.20;0;0;3;;RUB;RUB
65553;1237.00;617.40;0;0;3;;RUB;RUB
65554;1020.00;508.20;0;0;3;;RUB;RUB
65557;1237.00;617.40;0;0;3;;RUB;RUB
65558;1020.00;508.20;0;0;3;;RUB;RUB
65559;1237.00;617.40;0;0;3;;RUB;RUB
65561;1237.00;617.40;0;0;3;;RUB;RUB
66045;1110.00;554.40;0;0;3;;RUB;RUB
66971;4381.00;2415.00;0;0;3;;RUB;RUB
67045;1013.00;449.40;0;0;3;;RUB;RUB
67134;1346.00;672.00;0;0;3;;RUB;RUB
67407;4251.00;2352.00;0;0;3;;RUB;RUB
67420;7489.00;4158.00;0;0;3;;RUB;RUB
67422;4505.00;2499.00;0;0;3;;RUB;RUB
67451;774.00;342.30;0;0;3;;RUB;RUB
67517;1778.00;888.30;0;0;3;;RUB;RUB
67519;5825.00;3234.00;0;0;3;;RUB;RUB
67683;550.00;203.70;0;0;3;;RUB;RUB
67704;2415.00;1270.50;0;0;3;;RUB;RUB
67793;1331.00;663.60;0;0;3;;RUB;RUB
67852;11021.00;6279.00;0;0;3;;RUB;RUB
73257;9724.00;5544.00;0;0;3;;RUB;RUB
73258;557.00;336.00;0;0;3;;RUB;RUB
73260;666.00;245.70;0;0;3;;RUB;RUB
73262;683.00;302.40;0;0;3;;RUB;RUB
73268;1194.00;596.40;0;0;3;;RUB;RUB
73941;2548.00;1339.80;0;0;3;;RUB;RUB
74580;4908.00;2709.00;0;0;3;;RUB;RUB
74695;5386.00;2982.00;0;0;3;;RUB;RUB
74699;1760.00;879.90;0;0;3;;RUB;RUB
74994;1975.00;987.00;0;0;3;;RUB;RUB
74995;1975.00;987.00;0;0;3;;RUB;RUB
78006;4854.00;2688.00;0;0;3;;RUB;RUB
78152;692.00;256.20;0;0;3;;RUB;RUB
78358;1848.00;924.00;0;0;3;;RUB;RUB
78363;2253.00;1184.40;0;0;3;;RUB;RUB
78456;726.00;321.30;0;0;3;;RUB;RUB
78568;882.00;390.60;0;0;3;;RUB;RUB
78666;444.00;147.84;0;0;3;;RUB;RUB
78667;964.00;428.40;0;0;3;;RUB;RUB
78668;444.00;147.84;0;0;3;;RUB;RUB
78669;444.00;147.84;0;0;3;;RUB;RUB
78670;689.00;304.50;0;0;3;;RUB;RUB
78671;444.00;147.84;0;0;3;;RUB;RUB
78672;698.00;308.70;0;0;3;;RUB;RUB
78757;5894.00;3255.00;0;0;3;;RUB;RUB
